,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
5522,AGO,Africa,Angola,2020-03-20,1.0,1.0,,,,,0.028,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5523,AGO,Africa,Angola,2020-03-21,2.0,1.0,,,,,0.056,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5524,AGO,Africa,Angola,2020-03-22,2.0,0.0,,,,,0.056,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5525,AGO,Africa,Angola,2020-03-23,3.0,1.0,,,,,0.084,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5526,AGO,Africa,Angola,2020-03-24,3.0,0.0,,,,,0.084,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5527,AGO,Africa,Angola,2020-03-25,3.0,0.0,0.429,,,,0.084,0.0,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5528,AGO,Africa,Angola,2020-03-26,4.0,1.0,0.571,,,,0.112,0.028,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5529,AGO,Africa,Angola,2020-03-27,4.0,0.0,0.429,,,,0.112,0.0,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5530,AGO,Africa,Angola,2020-03-28,5.0,1.0,0.429,,,,0.14,0.028,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5531,AGO,Africa,Angola,2020-03-29,7.0,2.0,0.714,2.0,2.0,,0.197,0.056,0.02,0.056,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5532,AGO,Africa,Angola,2020-03-30,7.0,0.0,0.571,2.0,0.0,,0.197,0.0,0.016,0.056,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5533,AGO,Africa,Angola,2020-03-31,7.0,0.0,0.571,2.0,0.0,,0.197,0.0,0.016,0.056,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5534,AGO,Africa,Angola,2020-04-01,8.0,1.0,0.714,2.0,0.0,,0.225,0.028,0.02,0.056,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5535,AGO,Africa,Angola,2020-04-02,8.0,0.0,0.571,2.0,0.0,,0.225,0.0,0.016,0.056,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5536,AGO,Africa,Angola,2020-04-03,8.0,0.0,0.571,2.0,0.0,0.286,0.225,0.0,0.016,0.056,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5537,AGO,Africa,Angola,2020-04-04,10.0,2.0,0.714,2.0,0.0,0.286,0.281,0.056,0.02,0.056,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5538,AGO,Africa,Angola,2020-04-05,14.0,4.0,1.0,2.0,0.0,0.0,0.393,0.112,0.028,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5539,AGO,Africa,Angola,2020-04-06,16.0,2.0,1.286,2.0,0.0,0.0,0.45,0.056,0.036,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5540,AGO,Africa,Angola,2020-04-07,17.0,1.0,1.429,2.0,0.0,0.0,0.478,0.028,0.04,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5541,AGO,Africa,Angola,2020-04-08,19.0,2.0,1.571,2.0,0.0,0.0,0.534,0.056,0.044,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5542,AGO,Africa,Angola,2020-04-09,19.0,0.0,1.571,2.0,0.0,0.0,0.534,0.0,0.044,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5543,AGO,Africa,Angola,2020-04-10,19.0,0.0,1.571,2.0,0.0,0.0,0.534,0.0,0.044,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5544,AGO,Africa,Angola,2020-04-11,19.0,0.0,1.286,2.0,0.0,0.0,0.534,0.0,0.036,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5545,AGO,Africa,Angola,2020-04-12,19.0,0.0,0.714,2.0,0.0,0.0,0.534,0.0,0.02,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5546,AGO,Africa,Angola,2020-04-13,19.0,0.0,0.429,2.0,0.0,0.0,0.534,0.0,0.012,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5547,AGO,Africa,Angola,2020-04-14,19.0,0.0,0.286,2.0,0.0,0.0,0.534,0.0,0.008,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5548,AGO,Africa,Angola,2020-04-15,19.0,0.0,0.0,2.0,0.0,0.0,0.534,0.0,0.0,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5549,AGO,Africa,Angola,2020-04-16,19.0,0.0,0.0,2.0,0.0,0.0,0.534,0.0,0.0,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5550,AGO,Africa,Angola,2020-04-17,19.0,0.0,0.0,2.0,0.0,0.0,0.534,0.0,0.0,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5551,AGO,Africa,Angola,2020-04-18,24.0,5.0,0.714,2.0,0.0,0.0,0.674,0.14,0.02,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5552,AGO,Africa,Angola,2020-04-19,24.0,0.0,0.714,2.0,0.0,0.0,0.674,0.0,0.02,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5553,AGO,Africa,Angola,2020-04-20,24.0,0.0,0.714,2.0,0.0,0.0,0.674,0.0,0.02,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5554,AGO,Africa,Angola,2020-04-21,24.0,0.0,0.714,2.0,0.0,0.0,0.674,0.0,0.02,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5555,AGO,Africa,Angola,2020-04-22,25.0,1.0,0.857,2.0,0.0,0.0,0.702,0.028,0.024,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5556,AGO,Africa,Angola,2020-04-23,25.0,0.0,0.857,2.0,0.0,0.0,0.702,0.0,0.024,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5557,AGO,Africa,Angola,2020-04-24,25.0,0.0,0.857,2.0,0.0,0.0,0.702,0.0,0.024,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5558,AGO,Africa,Angola,2020-04-25,25.0,0.0,0.143,2.0,0.0,0.0,0.702,0.0,0.004,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5559,AGO,Africa,Angola,2020-04-26,26.0,1.0,0.286,2.0,0.0,0.0,0.731,0.028,0.008,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5560,AGO,Africa,Angola,2020-04-27,27.0,1.0,0.429,2.0,0.0,0.0,0.759,0.028,0.012,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5561,AGO,Africa,Angola,2020-04-28,27.0,0.0,0.429,2.0,0.0,0.0,0.759,0.0,0.012,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5562,AGO,Africa,Angola,2020-04-29,27.0,0.0,0.286,2.0,0.0,0.0,0.759,0.0,0.008,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5563,AGO,Africa,Angola,2020-04-30,27.0,0.0,0.286,2.0,0.0,0.0,0.759,0.0,0.008,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5564,AGO,Africa,Angola,2020-05-01,30.0,3.0,0.714,2.0,0.0,0.0,0.843,0.084,0.02,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5565,AGO,Africa,Angola,2020-05-02,35.0,5.0,1.429,2.0,0.0,0.0,0.983,0.14,0.04,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5566,AGO,Africa,Angola,2020-05-03,35.0,0.0,1.286,2.0,0.0,0.0,0.983,0.0,0.036,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5567,AGO,Africa,Angola,2020-05-04,35.0,0.0,1.143,2.0,0.0,0.0,0.983,0.0,0.032,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5568,AGO,Africa,Angola,2020-05-05,36.0,1.0,1.286,2.0,0.0,0.0,1.012,0.028,0.036,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5569,AGO,Africa,Angola,2020-05-06,36.0,0.0,1.286,2.0,0.0,0.0,1.012,0.0,0.036,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5570,AGO,Africa,Angola,2020-05-07,36.0,0.0,1.286,2.0,0.0,0.0,1.012,0.0,0.036,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5571,AGO,Africa,Angola,2020-05-08,43.0,7.0,1.857,2.0,0.0,0.0,1.208,0.197,0.052,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5572,AGO,Africa,Angola,2020-05-09,43.0,0.0,1.143,2.0,0.0,0.0,1.208,0.0,0.032,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5573,AGO,Africa,Angola,2020-05-10,45.0,2.0,1.429,2.0,0.0,0.0,1.264,0.056,0.04,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5574,AGO,Africa,Angola,2020-05-11,45.0,0.0,1.429,2.0,0.0,0.0,1.264,0.0,0.04,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5575,AGO,Africa,Angola,2020-05-12,45.0,0.0,1.286,2.0,0.0,0.0,1.264,0.0,0.036,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5576,AGO,Africa,Angola,2020-05-13,45.0,0.0,1.286,2.0,0.0,0.0,1.264,0.0,0.036,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5577,AGO,Africa,Angola,2020-05-14,48.0,3.0,1.714,2.0,0.0,0.0,1.349,0.084,0.048,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5578,AGO,Africa,Angola,2020-05-15,48.0,0.0,0.714,2.0,0.0,0.0,1.349,0.0,0.02,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5579,AGO,Africa,Angola,2020-05-16,48.0,0.0,0.714,2.0,0.0,0.0,1.349,0.0,0.02,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5580,AGO,Africa,Angola,2020-05-17,48.0,0.0,0.429,2.0,0.0,0.0,1.349,0.0,0.012,0.056,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5581,AGO,Africa,Angola,2020-05-18,50.0,2.0,0.714,3.0,1.0,0.143,1.405,0.056,0.02,0.084,0.028,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5582,AGO,Africa,Angola,2020-05-19,52.0,2.0,1.0,3.0,0.0,0.143,1.461,0.056,0.028,0.084,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5583,AGO,Africa,Angola,2020-05-20,52.0,0.0,1.0,3.0,0.0,0.143,1.461,0.0,0.028,0.084,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5584,AGO,Africa,Angola,2020-05-21,58.0,6.0,1.429,3.0,0.0,0.143,1.63,0.169,0.04,0.084,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5585,AGO,Africa,Angola,2020-05-22,60.0,2.0,1.714,3.0,0.0,0.143,1.686,0.056,0.048,0.084,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5586,AGO,Africa,Angola,2020-05-23,61.0,1.0,1.857,4.0,1.0,0.286,1.714,0.028,0.052,0.112,0.028,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5587,AGO,Africa,Angola,2020-05-24,69.0,8.0,3.0,4.0,0.0,0.286,1.939,0.225,0.084,0.112,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5588,AGO,Africa,Angola,2020-05-25,70.0,1.0,2.857,4.0,0.0,0.143,1.967,0.028,0.08,0.112,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5589,AGO,Africa,Angola,2020-05-26,70.0,0.0,2.571,4.0,0.0,0.143,1.967,0.0,0.072,0.112,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5590,AGO,Africa,Angola,2020-05-27,71.0,1.0,2.714,4.0,0.0,0.143,1.995,0.028,0.076,0.112,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5591,AGO,Africa,Angola,2020-05-28,74.0,3.0,2.286,4.0,0.0,0.143,2.079,0.084,0.064,0.112,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5592,AGO,Africa,Angola,2020-05-29,81.0,7.0,3.0,4.0,0.0,0.143,2.276,0.197,0.084,0.112,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5593,AGO,Africa,Angola,2020-05-30,84.0,3.0,3.286,4.0,0.0,0.0,2.36,0.084,0.092,0.112,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5594,AGO,Africa,Angola,2020-05-31,86.0,2.0,2.429,4.0,0.0,0.0,2.416,0.056,0.068,0.112,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5595,AGO,Africa,Angola,2020-06-01,86.0,0.0,2.286,4.0,0.0,0.0,2.416,0.0,0.064,0.112,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5596,AGO,Africa,Angola,2020-06-02,86.0,0.0,2.286,4.0,0.0,0.0,2.416,0.0,0.064,0.112,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5597,AGO,Africa,Angola,2020-06-03,86.0,0.0,2.143,4.0,0.0,0.0,2.416,0.0,0.06,0.112,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5598,AGO,Africa,Angola,2020-06-04,86.0,0.0,1.714,4.0,0.0,0.0,2.416,0.0,0.048,0.112,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5599,AGO,Africa,Angola,2020-06-05,86.0,0.0,0.714,4.0,0.0,0.0,2.416,0.0,0.02,0.112,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5600,AGO,Africa,Angola,2020-06-06,88.0,2.0,0.571,4.0,0.0,0.0,2.473,0.056,0.016,0.112,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5601,AGO,Africa,Angola,2020-06-07,91.0,3.0,0.714,4.0,0.0,0.0,2.557,0.084,0.02,0.112,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5602,AGO,Africa,Angola,2020-06-08,92.0,1.0,0.857,4.0,0.0,0.0,2.585,0.028,0.024,0.112,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5603,AGO,Africa,Angola,2020-06-09,96.0,4.0,1.429,4.0,0.0,0.0,2.697,0.112,0.04,0.112,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5604,AGO,Africa,Angola,2020-06-10,113.0,17.0,3.857,4.0,0.0,0.0,3.175,0.478,0.108,0.112,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
5605,AGO,Africa,Angola,2020-06-11,118.0,5.0,4.571,5.0,1.0,0.143,3.316,0.14,0.128,0.14,0.028,0.004,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.93,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
