,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
50405,COG,Africa,Congo,2020-03-15,1.0,1.0,,,,,0.167,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50406,COG,Africa,Congo,2020-03-16,1.0,0.0,,,,,0.167,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50407,COG,Africa,Congo,2020-03-17,1.0,0.0,,,,,0.167,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50408,COG,Africa,Congo,2020-03-18,1.0,0.0,,,,,0.167,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50409,COG,Africa,Congo,2020-03-19,3.0,2.0,,,,,0.502,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50410,COG,Africa,Congo,2020-03-20,3.0,0.0,0.429,,,,0.502,0.0,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50411,COG,Africa,Congo,2020-03-21,3.0,0.0,0.429,,,,0.502,0.0,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50412,COG,Africa,Congo,2020-03-22,3.0,0.0,0.286,,,,0.502,0.0,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50413,COG,Africa,Congo,2020-03-23,4.0,1.0,0.429,,,,0.67,0.167,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50414,COG,Africa,Congo,2020-03-24,4.0,0.0,0.429,,,,0.67,0.0,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50415,COG,Africa,Congo,2020-03-25,4.0,0.0,0.429,,,,0.67,0.0,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50416,COG,Africa,Congo,2020-03-26,4.0,0.0,0.143,,,,0.67,0.0,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50417,COG,Africa,Congo,2020-03-27,4.0,0.0,0.143,,,,0.67,0.0,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50418,COG,Africa,Congo,2020-03-28,4.0,0.0,0.143,,,,0.67,0.0,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50419,COG,Africa,Congo,2020-03-29,19.0,15.0,2.286,,,,3.182,2.512,0.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50420,COG,Africa,Congo,2020-03-30,19.0,0.0,2.143,,,,3.182,0.0,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50421,COG,Africa,Congo,2020-03-31,19.0,0.0,2.143,,,,3.182,0.0,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50422,COG,Africa,Congo,2020-04-01,19.0,0.0,2.143,,,,3.182,0.0,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50423,COG,Africa,Congo,2020-04-02,22.0,3.0,2.571,2.0,2.0,,3.685,0.502,0.431,0.335,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50424,COG,Africa,Congo,2020-04-03,22.0,0.0,2.571,2.0,0.0,,3.685,0.0,0.431,0.335,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50425,COG,Africa,Congo,2020-04-04,22.0,0.0,2.571,2.0,0.0,,3.685,0.0,0.431,0.335,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50426,COG,Africa,Congo,2020-04-05,45.0,23.0,3.714,5.0,3.0,,7.537,3.852,0.622,0.837,0.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50427,COG,Africa,Congo,2020-04-06,45.0,0.0,3.714,5.0,0.0,,7.537,0.0,0.622,0.837,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50428,COG,Africa,Congo,2020-04-07,45.0,0.0,3.714,5.0,0.0,0.714,7.537,0.0,0.622,0.837,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50429,COG,Africa,Congo,2020-04-08,45.0,0.0,3.714,5.0,0.0,0.714,7.537,0.0,0.622,0.837,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50430,COG,Africa,Congo,2020-04-09,60.0,15.0,5.429,5.0,0.0,0.429,10.05,2.512,0.909,0.837,0.0,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50431,COG,Africa,Congo,2020-04-10,60.0,0.0,5.429,5.0,0.0,0.429,10.05,0.0,0.909,0.837,0.0,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50432,COG,Africa,Congo,2020-04-11,60.0,0.0,5.429,5.0,0.0,0.429,10.05,0.0,0.909,0.837,0.0,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50433,COG,Africa,Congo,2020-04-12,60.0,0.0,2.143,5.0,0.0,0.0,10.05,0.0,0.359,0.837,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50434,COG,Africa,Congo,2020-04-13,60.0,0.0,2.143,5.0,0.0,0.0,10.05,0.0,0.359,0.837,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50435,COG,Africa,Congo,2020-04-14,60.0,0.0,2.143,5.0,0.0,0.0,10.05,0.0,0.359,0.837,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50436,COG,Africa,Congo,2020-04-15,117.0,57.0,10.286,5.0,0.0,0.0,19.597,9.547,1.723,0.837,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50437,COG,Africa,Congo,2020-04-16,117.0,0.0,8.143,5.0,0.0,0.0,19.597,0.0,1.364,0.837,0.0,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50438,COG,Africa,Congo,2020-04-17,143.0,26.0,11.857,6.0,1.0,0.143,23.951,4.355,1.986,1.005,0.167,0.024,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50439,COG,Africa,Congo,2020-04-18,143.0,0.0,11.857,6.0,0.0,0.143,23.951,0.0,1.986,1.005,0.0,0.024,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50440,COG,Africa,Congo,2020-04-19,143.0,0.0,11.857,6.0,0.0,0.143,23.951,0.0,1.986,1.005,0.0,0.024,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50441,COG,Africa,Congo,2020-04-20,160.0,17.0,14.286,6.0,0.0,0.143,26.799,2.847,2.393,1.005,0.0,0.024,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50442,COG,Africa,Congo,2020-04-21,165.0,5.0,15.0,6.0,0.0,0.143,27.636,0.837,2.512,1.005,0.0,0.024,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50443,COG,Africa,Congo,2020-04-22,186.0,21.0,9.857,6.0,0.0,0.143,31.154,3.517,1.651,1.005,0.0,0.024,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50444,COG,Africa,Congo,2020-04-23,186.0,0.0,9.857,6.0,0.0,0.143,31.154,0.0,1.651,1.005,0.0,0.024,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50445,COG,Africa,Congo,2020-04-24,200.0,14.0,8.143,6.0,0.0,0.0,33.498,2.345,1.364,1.005,0.0,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50446,COG,Africa,Congo,2020-04-25,200.0,0.0,8.143,6.0,0.0,0.0,33.498,0.0,1.364,1.005,0.0,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50447,COG,Africa,Congo,2020-04-26,200.0,0.0,8.143,6.0,0.0,0.0,33.498,0.0,1.364,1.005,0.0,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50448,COG,Africa,Congo,2020-04-27,200.0,0.0,5.714,6.0,0.0,0.0,33.498,0.0,0.957,1.005,0.0,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50449,COG,Africa,Congo,2020-04-28,207.0,7.0,6.0,8.0,2.0,0.286,34.671,1.172,1.005,1.34,0.335,0.048,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50450,COG,Africa,Congo,2020-04-29,207.0,0.0,3.0,8.0,0.0,0.286,34.671,0.0,0.502,1.34,0.0,0.048,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50451,COG,Africa,Congo,2020-04-30,220.0,13.0,4.857,9.0,1.0,0.429,36.848,2.177,0.814,1.507,0.167,0.072,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50452,COG,Africa,Congo,2020-05-01,229.0,9.0,4.143,9.0,0.0,0.429,38.356,1.507,0.694,1.507,0.0,0.072,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50453,COG,Africa,Congo,2020-05-02,229.0,0.0,4.143,9.0,0.0,0.429,38.356,0.0,0.694,1.507,0.0,0.072,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50454,COG,Africa,Congo,2020-05-03,229.0,0.0,4.143,9.0,0.0,0.429,38.356,0.0,0.694,1.507,0.0,0.072,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50455,COG,Africa,Congo,2020-05-04,236.0,7.0,5.143,10.0,1.0,0.571,39.528,1.172,0.861,1.675,0.167,0.096,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50456,COG,Africa,Congo,2020-05-05,236.0,0.0,4.143,10.0,0.0,0.286,39.528,0.0,0.694,1.675,0.0,0.048,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50457,COG,Africa,Congo,2020-05-06,264.0,28.0,8.143,10.0,0.0,0.286,44.218,4.69,1.364,1.675,0.0,0.048,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50458,COG,Africa,Congo,2020-05-07,264.0,0.0,6.286,10.0,0.0,0.143,44.218,0.0,1.053,1.675,0.0,0.024,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50459,COG,Africa,Congo,2020-05-08,274.0,10.0,6.429,10.0,0.0,0.143,45.893,1.675,1.077,1.675,0.0,0.024,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50460,COG,Africa,Congo,2020-05-09,274.0,0.0,6.429,10.0,0.0,0.143,45.893,0.0,1.077,1.675,0.0,0.024,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50461,COG,Africa,Congo,2020-05-10,274.0,0.0,6.429,10.0,0.0,0.143,45.893,0.0,1.077,1.675,0.0,0.024,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50462,COG,Africa,Congo,2020-05-11,333.0,59.0,13.857,11.0,1.0,0.143,55.775,9.882,2.321,1.842,0.167,0.024,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50463,COG,Africa,Congo,2020-05-12,333.0,0.0,13.857,11.0,0.0,0.143,55.775,0.0,2.321,1.842,0.0,0.024,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50464,COG,Africa,Congo,2020-05-13,333.0,0.0,9.857,11.0,0.0,0.143,55.775,0.0,1.651,1.842,0.0,0.024,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50465,COG,Africa,Congo,2020-05-14,391.0,58.0,18.143,15.0,4.0,0.714,65.489,9.715,3.039,2.512,0.67,0.12,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50466,COG,Africa,Congo,2020-05-15,391.0,0.0,16.714,15.0,0.0,0.714,65.489,0.0,2.8,2.512,0.0,0.12,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50467,COG,Africa,Congo,2020-05-16,391.0,0.0,16.714,15.0,0.0,0.714,65.489,0.0,2.8,2.512,0.0,0.12,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50468,COG,Africa,Congo,2020-05-17,391.0,0.0,16.714,15.0,0.0,0.714,65.489,0.0,2.8,2.512,0.0,0.12,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50469,COG,Africa,Congo,2020-05-18,412.0,21.0,11.286,15.0,0.0,0.571,69.007,3.517,1.89,2.512,0.0,0.096,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50470,COG,Africa,Congo,2020-05-19,420.0,8.0,12.429,15.0,0.0,0.571,70.347,1.34,2.082,2.512,0.0,0.096,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50471,COG,Africa,Congo,2020-05-20,420.0,0.0,12.429,15.0,0.0,0.571,70.347,0.0,2.082,2.512,0.0,0.096,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50472,COG,Africa,Congo,2020-05-21,469.0,49.0,11.143,16.0,1.0,0.143,78.554,8.207,1.866,2.68,0.167,0.024,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50473,COG,Africa,Congo,2020-05-22,469.0,0.0,11.143,16.0,0.0,0.143,78.554,0.0,1.866,2.68,0.0,0.024,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50474,COG,Africa,Congo,2020-05-23,487.0,18.0,13.714,16.0,0.0,0.143,81.569,3.015,2.297,2.68,0.0,0.024,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50475,COG,Africa,Congo,2020-05-24,487.0,0.0,13.714,16.0,0.0,0.143,81.569,0.0,2.297,2.68,0.0,0.024,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50476,COG,Africa,Congo,2020-05-25,487.0,0.0,10.714,16.0,0.0,0.143,81.569,0.0,1.795,2.68,0.0,0.024,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50477,COG,Africa,Congo,2020-05-26,487.0,0.0,9.571,16.0,0.0,0.143,81.569,0.0,1.603,2.68,0.0,0.024,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50478,COG,Africa,Congo,2020-05-27,571.0,84.0,21.571,19.0,3.0,0.571,95.638,14.069,3.613,3.182,0.502,0.096,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50479,COG,Africa,Congo,2020-05-28,571.0,0.0,14.571,19.0,0.0,0.429,95.638,0.0,2.441,3.182,0.0,0.072,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50480,COG,Africa,Congo,2020-05-29,571.0,0.0,14.571,19.0,0.0,0.429,95.638,0.0,2.441,3.182,0.0,0.072,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50481,COG,Africa,Congo,2020-05-30,571.0,0.0,12.0,19.0,0.0,0.429,95.638,0.0,2.01,3.182,0.0,0.072,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50482,COG,Africa,Congo,2020-05-31,611.0,40.0,17.714,20.0,1.0,0.571,102.338,6.7,2.967,3.35,0.167,0.096,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50483,COG,Africa,Congo,2020-06-01,611.0,0.0,17.714,20.0,0.0,0.571,102.338,0.0,2.967,3.35,0.0,0.096,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50484,COG,Africa,Congo,2020-06-02,611.0,0.0,17.714,20.0,0.0,0.571,102.338,0.0,2.967,3.35,0.0,0.096,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
50485,COG,Africa,Congo,2020-06-03,611.0,0.0,5.714,20.0,0.0,0.143,102.338,0.0,0.957,3.35,0.0,0.024,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.15,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
