,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
122515,KIR,Oceania,Kiribati,2021-05-18,1.0,1.0,,,,,7.62,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122516,KIR,Oceania,Kiribati,2021-05-19,1.0,0.0,,,,,7.62,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122517,KIR,Oceania,Kiribati,2021-05-20,1.0,0.0,,,,,7.62,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122518,KIR,Oceania,Kiribati,2021-05-21,2.0,1.0,,,,,15.24,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122519,KIR,Oceania,Kiribati,2021-05-22,2.0,0.0,,,,,15.24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122520,KIR,Oceania,Kiribati,2021-05-23,2.0,0.0,0.286,,,,15.24,0.0,2.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122521,KIR,Oceania,Kiribati,2021-05-24,2.0,0.0,0.286,,,,15.24,0.0,2.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122522,KIR,Oceania,Kiribati,2021-05-25,2.0,0.0,0.143,,,,15.24,0.0,1.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122523,KIR,Oceania,Kiribati,2021-05-26,2.0,0.0,0.143,,,,15.24,0.0,1.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122524,KIR,Oceania,Kiribati,2021-05-27,2.0,0.0,0.143,,,,15.24,0.0,1.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122525,KIR,Oceania,Kiribati,2021-05-28,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122526,KIR,Oceania,Kiribati,2021-05-29,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122527,KIR,Oceania,Kiribati,2021-05-30,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122528,KIR,Oceania,Kiribati,2021-05-31,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122529,KIR,Oceania,Kiribati,2021-06-01,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,27.78,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122530,KIR,Oceania,Kiribati,2021-06-02,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,27.78,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122531,KIR,Oceania,Kiribati,2021-06-03,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,27.78,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122532,KIR,Oceania,Kiribati,2021-06-04,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,27.78,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122533,KIR,Oceania,Kiribati,2021-06-05,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,27.78,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122534,KIR,Oceania,Kiribati,2021-06-06,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,27.78,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122535,KIR,Oceania,Kiribati,2021-06-07,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122536,KIR,Oceania,Kiribati,2021-06-08,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122537,KIR,Oceania,Kiribati,2021-06-09,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122538,KIR,Oceania,Kiribati,2021-06-10,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122539,KIR,Oceania,Kiribati,2021-06-11,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122540,KIR,Oceania,Kiribati,2021-06-12,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122541,KIR,Oceania,Kiribati,2021-06-13,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122542,KIR,Oceania,Kiribati,2021-06-14,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122543,KIR,Oceania,Kiribati,2021-06-15,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122544,KIR,Oceania,Kiribati,2021-06-16,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122545,KIR,Oceania,Kiribati,2021-06-17,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122546,KIR,Oceania,Kiribati,2021-06-18,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122547,KIR,Oceania,Kiribati,2021-06-19,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122548,KIR,Oceania,Kiribati,2021-06-20,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122549,KIR,Oceania,Kiribati,2021-06-21,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122550,KIR,Oceania,Kiribati,2021-06-22,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122551,KIR,Oceania,Kiribati,2021-06-23,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122552,KIR,Oceania,Kiribati,2021-06-24,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122553,KIR,Oceania,Kiribati,2021-06-25,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122554,KIR,Oceania,Kiribati,2021-06-26,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122555,KIR,Oceania,Kiribati,2021-06-27,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122556,KIR,Oceania,Kiribati,2021-06-28,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122557,KIR,Oceania,Kiribati,2021-06-29,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122558,KIR,Oceania,Kiribati,2021-06-30,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122559,KIR,Oceania,Kiribati,2021-07-01,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122560,KIR,Oceania,Kiribati,2021-07-02,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122561,KIR,Oceania,Kiribati,2021-07-03,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122562,KIR,Oceania,Kiribati,2021-07-04,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122563,KIR,Oceania,Kiribati,2021-07-05,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122564,KIR,Oceania,Kiribati,2021-07-06,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122565,KIR,Oceania,Kiribati,2021-07-07,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122566,KIR,Oceania,Kiribati,2021-07-08,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122567,KIR,Oceania,Kiribati,2021-07-09,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122568,KIR,Oceania,Kiribati,2021-07-10,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122569,KIR,Oceania,Kiribati,2021-07-11,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122570,KIR,Oceania,Kiribati,2021-07-12,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122571,KIR,Oceania,Kiribati,2021-07-13,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122572,KIR,Oceania,Kiribati,2021-07-14,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122573,KIR,Oceania,Kiribati,2021-07-15,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122574,KIR,Oceania,Kiribati,2021-07-16,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122575,KIR,Oceania,Kiribati,2021-07-17,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122576,KIR,Oceania,Kiribati,2021-07-18,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122577,KIR,Oceania,Kiribati,2021-07-19,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122578,KIR,Oceania,Kiribati,2021-07-20,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122579,KIR,Oceania,Kiribati,2021-07-21,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122580,KIR,Oceania,Kiribati,2021-07-22,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122581,KIR,Oceania,Kiribati,2021-07-23,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122582,KIR,Oceania,Kiribati,2021-07-24,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122583,KIR,Oceania,Kiribati,2021-07-25,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122584,KIR,Oceania,Kiribati,2021-07-26,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122585,KIR,Oceania,Kiribati,2021-07-27,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122586,KIR,Oceania,Kiribati,2021-07-28,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122587,KIR,Oceania,Kiribati,2021-07-29,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,22.22,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122588,KIR,Oceania,Kiribati,2021-07-30,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,37.5,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122589,KIR,Oceania,Kiribati,2021-07-31,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,37.5,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122590,KIR,Oceania,Kiribati,2021-08-01,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,37.5,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122591,KIR,Oceania,Kiribati,2021-08-02,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,37.5,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122592,KIR,Oceania,Kiribati,2021-08-03,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,37.5,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122593,KIR,Oceania,Kiribati,2021-08-04,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,37.5,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122594,KIR,Oceania,Kiribati,2021-08-05,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,37.5,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122595,KIR,Oceania,Kiribati,2021-08-06,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,37.5,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122596,KIR,Oceania,Kiribati,2021-08-07,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,37.5,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
122597,KIR,Oceania,Kiribati,2021-08-08,2.0,0.0,0.0,,,,15.24,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,,,,,1539.0,202.0,0.154,37.5,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
