,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
251081,VUT,Oceania,Vanuatu,2020-11-26,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251082,VUT,Oceania,Vanuatu,2020-11-27,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251083,VUT,Oceania,Vanuatu,2020-11-28,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251084,VUT,Oceania,Vanuatu,2020-11-29,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251085,VUT,Oceania,Vanuatu,2020-11-30,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251086,VUT,Oceania,Vanuatu,2020-12-01,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251087,VUT,Oceania,Vanuatu,2020-12-02,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251088,VUT,Oceania,Vanuatu,2020-12-03,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251089,VUT,Oceania,Vanuatu,2020-12-04,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251090,VUT,Oceania,Vanuatu,2020-12-05,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251091,VUT,Oceania,Vanuatu,2020-12-06,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251092,VUT,Oceania,Vanuatu,2020-12-07,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251093,VUT,Oceania,Vanuatu,2020-12-08,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251094,VUT,Oceania,Vanuatu,2020-12-09,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251095,VUT,Oceania,Vanuatu,2020-12-10,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251096,VUT,Oceania,Vanuatu,2020-12-11,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251097,VUT,Oceania,Vanuatu,2020-12-12,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251098,VUT,Oceania,Vanuatu,2020-12-13,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251099,VUT,Oceania,Vanuatu,2020-12-14,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251100,VUT,Oceania,Vanuatu,2020-12-15,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251101,VUT,Oceania,Vanuatu,2020-12-16,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251102,VUT,Oceania,Vanuatu,2020-12-17,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251103,VUT,Oceania,Vanuatu,2020-12-18,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251104,VUT,Oceania,Vanuatu,2020-12-19,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251105,VUT,Oceania,Vanuatu,2020-12-20,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251106,VUT,Oceania,Vanuatu,2020-12-21,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251107,VUT,Oceania,Vanuatu,2020-12-22,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251108,VUT,Oceania,Vanuatu,2020-12-23,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251109,VUT,Oceania,Vanuatu,2020-12-24,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251110,VUT,Oceania,Vanuatu,2020-12-25,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
251111,VUT,Oceania,Vanuatu,2020-12-26,1.0,0.0,0.0,,,,3.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
