,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
56512,CUW,North America,Curacao,2020-03-14,1.0,1.0,,,,,5.231,5.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56513,CUW,North America,Curacao,2020-03-15,1.0,0.0,,,,,5.231,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56514,CUW,North America,Curacao,2020-03-16,1.0,0.0,,,,,5.231,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56515,CUW,North America,Curacao,2020-03-17,3.0,2.0,,,,,15.693,10.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56516,CUW,North America,Curacao,2020-03-18,3.0,0.0,,,,,15.693,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56517,CUW,North America,Curacao,2020-03-19,3.0,0.0,0.429,1.0,1.0,,15.693,0.0,2.242,5.231,5.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56518,CUW,North America,Curacao,2020-03-20,3.0,0.0,0.429,1.0,0.0,,15.693,0.0,2.242,5.231,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56519,CUW,North America,Curacao,2020-03-21,3.0,0.0,0.286,1.0,0.0,,15.693,0.0,1.495,5.231,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56520,CUW,North America,Curacao,2020-03-22,3.0,0.0,0.286,1.0,0.0,,15.693,0.0,1.495,5.231,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56521,CUW,North America,Curacao,2020-03-23,4.0,1.0,0.429,1.0,0.0,,20.923,5.231,2.242,5.231,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56522,CUW,North America,Curacao,2020-03-24,6.0,2.0,0.429,1.0,0.0,0.143,31.385,10.462,2.242,5.231,0.0,0.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56523,CUW,North America,Curacao,2020-03-25,6.0,0.0,0.429,1.0,0.0,0.143,31.385,0.0,2.242,5.231,0.0,0.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56524,CUW,North America,Curacao,2020-03-26,6.0,0.0,0.429,1.0,0.0,0.0,31.385,0.0,2.242,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56525,CUW,North America,Curacao,2020-03-27,8.0,2.0,0.714,1.0,0.0,0.0,41.847,10.462,3.736,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56526,CUW,North America,Curacao,2020-03-28,8.0,0.0,0.714,1.0,0.0,0.0,41.847,0.0,3.736,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56527,CUW,North America,Curacao,2020-03-29,8.0,0.0,0.714,1.0,0.0,0.0,41.847,0.0,3.736,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56528,CUW,North America,Curacao,2020-03-30,11.0,3.0,1.0,1.0,0.0,0.0,57.54,15.693,5.231,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56529,CUW,North America,Curacao,2020-03-31,11.0,0.0,0.714,1.0,0.0,0.0,57.54,0.0,3.736,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56530,CUW,North America,Curacao,2020-04-01,11.0,0.0,0.714,1.0,0.0,0.0,57.54,0.0,3.736,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56531,CUW,North America,Curacao,2020-04-02,11.0,0.0,0.714,1.0,0.0,0.0,57.54,0.0,3.736,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56532,CUW,North America,Curacao,2020-04-03,11.0,0.0,0.429,1.0,0.0,0.0,57.54,0.0,2.242,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56533,CUW,North America,Curacao,2020-04-04,11.0,0.0,0.429,1.0,0.0,0.0,57.54,0.0,2.242,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56534,CUW,North America,Curacao,2020-04-05,11.0,0.0,0.429,1.0,0.0,0.0,57.54,0.0,2.242,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56535,CUW,North America,Curacao,2020-04-06,13.0,2.0,0.286,1.0,0.0,0.0,68.001,10.462,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56536,CUW,North America,Curacao,2020-04-07,13.0,0.0,0.286,1.0,0.0,0.0,68.001,0.0,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56537,CUW,North America,Curacao,2020-04-08,14.0,1.0,0.429,1.0,0.0,0.0,73.232,5.231,2.242,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56538,CUW,North America,Curacao,2020-04-09,14.0,0.0,0.429,1.0,0.0,0.0,73.232,0.0,2.242,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56539,CUW,North America,Curacao,2020-04-10,14.0,0.0,0.429,1.0,0.0,0.0,73.232,0.0,2.242,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56540,CUW,North America,Curacao,2020-04-11,14.0,0.0,0.429,1.0,0.0,0.0,73.232,0.0,2.242,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56541,CUW,North America,Curacao,2020-04-12,14.0,0.0,0.429,1.0,0.0,0.0,73.232,0.0,2.242,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56542,CUW,North America,Curacao,2020-04-13,14.0,0.0,0.143,1.0,0.0,0.0,73.232,0.0,0.747,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56543,CUW,North America,Curacao,2020-04-14,14.0,0.0,0.143,1.0,0.0,0.0,73.232,0.0,0.747,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56544,CUW,North America,Curacao,2020-04-15,14.0,0.0,0.0,1.0,0.0,0.0,73.232,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56545,CUW,North America,Curacao,2020-04-16,14.0,0.0,0.0,1.0,0.0,0.0,73.232,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56546,CUW,North America,Curacao,2020-04-17,14.0,0.0,0.0,1.0,0.0,0.0,73.232,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56547,CUW,North America,Curacao,2020-04-18,14.0,0.0,0.0,1.0,0.0,0.0,73.232,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56548,CUW,North America,Curacao,2020-04-19,14.0,0.0,0.0,1.0,0.0,0.0,73.232,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56549,CUW,North America,Curacao,2020-04-20,14.0,0.0,0.0,1.0,0.0,0.0,73.232,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56550,CUW,North America,Curacao,2020-04-21,14.0,0.0,0.0,1.0,0.0,0.0,73.232,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56551,CUW,North America,Curacao,2020-04-22,14.0,0.0,0.0,1.0,0.0,0.0,73.232,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56552,CUW,North America,Curacao,2020-04-23,14.0,0.0,0.0,1.0,0.0,0.0,73.232,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56553,CUW,North America,Curacao,2020-04-24,16.0,2.0,0.286,1.0,0.0,0.0,83.694,10.462,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56554,CUW,North America,Curacao,2020-04-25,16.0,0.0,0.286,1.0,0.0,0.0,83.694,0.0,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56555,CUW,North America,Curacao,2020-04-26,16.0,0.0,0.286,1.0,0.0,0.0,83.694,0.0,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56556,CUW,North America,Curacao,2020-04-27,16.0,0.0,0.286,1.0,0.0,0.0,83.694,0.0,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56557,CUW,North America,Curacao,2020-04-28,16.0,0.0,0.286,1.0,0.0,0.0,83.694,0.0,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56558,CUW,North America,Curacao,2020-04-29,16.0,0.0,0.286,1.0,0.0,0.0,83.694,0.0,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56559,CUW,North America,Curacao,2020-04-30,16.0,0.0,0.286,1.0,0.0,0.0,83.694,0.0,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56560,CUW,North America,Curacao,2020-05-01,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56561,CUW,North America,Curacao,2020-05-02,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56562,CUW,North America,Curacao,2020-05-03,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56563,CUW,North America,Curacao,2020-05-04,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56564,CUW,North America,Curacao,2020-05-05,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56565,CUW,North America,Curacao,2020-05-06,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56566,CUW,North America,Curacao,2020-05-07,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56567,CUW,North America,Curacao,2020-05-08,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56568,CUW,North America,Curacao,2020-05-09,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56569,CUW,North America,Curacao,2020-05-10,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56570,CUW,North America,Curacao,2020-05-11,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56571,CUW,North America,Curacao,2020-05-12,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56572,CUW,North America,Curacao,2020-05-13,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56573,CUW,North America,Curacao,2020-05-14,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56574,CUW,North America,Curacao,2020-05-15,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56575,CUW,North America,Curacao,2020-05-16,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56576,CUW,North America,Curacao,2020-05-17,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56577,CUW,North America,Curacao,2020-05-18,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56578,CUW,North America,Curacao,2020-05-19,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56579,CUW,North America,Curacao,2020-05-20,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56580,CUW,North America,Curacao,2020-05-21,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56581,CUW,North America,Curacao,2020-05-22,16.0,0.0,0.0,1.0,0.0,0.0,83.694,0.0,0.0,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56582,CUW,North America,Curacao,2020-05-23,17.0,1.0,0.143,1.0,0.0,0.0,88.925,5.231,0.747,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56583,CUW,North America,Curacao,2020-05-24,17.0,0.0,0.143,1.0,0.0,0.0,88.925,0.0,0.747,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56584,CUW,North America,Curacao,2020-05-25,18.0,1.0,0.286,1.0,0.0,0.0,94.156,5.231,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56585,CUW,North America,Curacao,2020-05-26,18.0,0.0,0.286,1.0,0.0,0.0,94.156,0.0,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56586,CUW,North America,Curacao,2020-05-27,18.0,0.0,0.286,1.0,0.0,0.0,94.156,0.0,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56587,CUW,North America,Curacao,2020-05-28,18.0,0.0,0.286,1.0,0.0,0.0,94.156,0.0,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56588,CUW,North America,Curacao,2020-05-29,18.0,0.0,0.286,1.0,0.0,0.0,94.156,0.0,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56589,CUW,North America,Curacao,2020-05-30,19.0,1.0,0.286,1.0,0.0,0.0,99.386,5.231,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56590,CUW,North America,Curacao,2020-05-31,19.0,0.0,0.286,1.0,0.0,0.0,99.386,0.0,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56591,CUW,North America,Curacao,2020-06-01,19.0,0.0,0.143,1.0,0.0,0.0,99.386,0.0,0.747,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56592,CUW,North America,Curacao,2020-06-02,20.0,1.0,0.286,1.0,0.0,0.0,104.617,5.231,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56593,CUW,North America,Curacao,2020-06-03,21.0,1.0,0.429,1.0,0.0,0.0,109.848,5.231,2.242,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56594,CUW,North America,Curacao,2020-06-04,21.0,0.0,0.429,1.0,0.0,0.0,109.848,0.0,2.242,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56595,CUW,North America,Curacao,2020-06-05,21.0,0.0,0.429,1.0,0.0,0.0,109.848,0.0,2.242,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56596,CUW,North America,Curacao,2020-06-06,21.0,0.0,0.286,1.0,0.0,0.0,109.848,0.0,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56597,CUW,North America,Curacao,2020-06-07,21.0,0.0,0.286,1.0,0.0,0.0,109.848,0.0,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56598,CUW,North America,Curacao,2020-06-08,21.0,0.0,0.286,1.0,0.0,0.0,109.848,0.0,1.495,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56599,CUW,North America,Curacao,2020-06-09,21.0,0.0,0.143,1.0,0.0,0.0,109.848,0.0,0.747,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56600,CUW,North America,Curacao,2020-06-10,22.0,1.0,0.143,1.0,0.0,0.0,115.079,5.231,0.747,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56601,CUW,North America,Curacao,2020-06-11,22.0,0.0,0.143,1.0,0.0,0.0,115.079,0.0,0.747,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56602,CUW,North America,Curacao,2020-06-12,22.0,0.0,0.143,1.0,0.0,0.0,115.079,0.0,0.747,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56603,CUW,North America,Curacao,2020-06-13,22.0,0.0,0.143,1.0,0.0,0.0,115.079,0.0,0.747,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56604,CUW,North America,Curacao,2020-06-14,22.0,0.0,0.143,1.0,0.0,0.0,115.079,0.0,0.747,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
56605,CUW,North America,Curacao,2020-06-15,22.0,0.0,0.143,1.0,0.0,0.0,115.079,0.0,0.747,5.231,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
